businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
,深圳,深圳市茁壮网络股份有限公司,21710,"绩效奖金,五险一金,带薪年假,免费班车",image1/M00/00/28/Cgo8PFTUWI6AdsvwAABkGvmApng566.png,茁壮网络 iPanel,500-2000人,2018-06-19 16:01:41,0,罗湖区,本科,,D轮及以上,开发/测试/运维类,2018-06-19,,,threeDays,硬件,"广告营销,算法,深度学习,推荐,NLP",0,全职,1529457040000,22.566445,,114.17090300000001,0,,"大平台,大牛带,大项目,成长快",4189019,"广告营销,算法,深度学习,推荐,NLP",机器学习工程师,,248459,1,40,12K-24K,0,数据开发,,,1-3年
"南油,后海,科技园",深圳,顺丰科技有限公司,35996,"技能培训,节日礼物,带薪年假,岗位晋升",image1/M00/0B/E5/CgYXBlT0JAmATdmDAAA6dg5X4_k508.jpg,顺丰科技有限公司,500-2000人,2018-06-22 09:31:33,0,南山区,本科,,不需要融资,开发/测试/运维类,1天前发布,,"免费休闲游,免费健身房,一年调薪2次,交通补助,话费补助,免费体检,5险1金,创新经费支持,加班补贴",today,"移动互联网,电子商务",,0,全职,1529678002000,22.52037819,2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,113.93551634,0,,互联网 集团公司 高薪,2618026,,机器学习与人工智能高级工程师,,931700,0,0,20k-40k,0,数据开发,登良,2号线/蛇口线,5-10年
,深圳,深圳大宇无限科技有限公司,117193,"股票期权,带薪年假,弹性工作,扁平管理",i/image/M00/1F/F9/CgpFT1kS5DaAFZXRAACHAZ50Uws849.png,大宇无限,50-150人,2018-06-19 16:30:48,0,南山区,本科,,B轮,开发/测试/运维类,2018-06-19,,,today,移动互联网,"视频,广告营销,高级,大数据,数据挖掘",0,全职,1529673293000,22.541193,1号线/罗宝线_深大;1号线/罗宝线_桃园,113.93345500000001,0,,"工程师文化,高期权回报,六险一金,发展空间大",4259516,"视频,广告营销,高级,大数据,数据挖掘",机器学习算法工程师,,4526542,1,100,17k-34k,0,数据开发,桃园,1号线/罗宝线,1-3年
西丽,深圳,深圳小库科技有限公司,160065,"股票期权,带薪年假,不打卡,扁平管理",i/image/M00/18/BC/CgpEMlj5hS-AKoYYAAAvwgQx2wU564.png,小库科技,50-150人,2018-06-08 10:34:36,0,南山区,本科,,A轮,开发/测试/运维类,2018-06-08,,,today,移动互联网,,0,全职,1529632624000,22.575165,5号线/环中线_留仙洞;5号线/环中线_西丽;7号线_西丽;7号线_茶光,113.944749,0,,"年底三薪+,股票期权,双休不打卡,技术大牛多",4419340,"专家,人工智能,深度学习,python",机器学习算法工程师,,7996391,1,59,25k-50k,0,数据开发,留仙洞,7号线,1-3年
,深圳,大连金易桔子科技有限公司,126962,,i/image/M00/25/94/Cgp3O1cfDNOAHyZSAAAafZf0JeQ050.png,金易桔子,150-500人,2018-06-19 14:12:34,0,南山区,硕士,,不需要融资,开发/测试/运维类,2018-06-19,,,disabled,"移动互联网,企业服务",,0,全职,1529563762000,22.523392,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,113.937987,0,,年终奖,3168769,"专家,大数据,数据挖掘,算法",机器学习与人工智能高级工程师,,4913346,1,88,30k-50k,0,软件开发,南山,2号线/蛇口线,1-3年
"香蜜湖,景田",深圳,深圳市今日投资数据科技有限公司,174344,"绩效奖金,交通补助,通讯津贴,年度旅游",i/image/M00/A9/6A/Cgp3O1iv3AKAeugBAAA5ReunaU0388.jpg,今日投资,50-150人,2018-06-19 17:30:25,0,福田区,硕士,,未融资,开发/测试/运维类,2018-06-19,,,disabled,"金融,数据服务",,0,全职,1529652216000,22.553319000000002,2号线/蛇口线_香梅北;2号线/蛇口线_景田;2号线/蛇口线_莲花西;9号线_香梅;9号线_景田;9号线_梅景;9号线_下梅林,114.043777,0,,"人工智能,待遇丰厚,金融科技,机器学习",4362973,"深度学习,人工智能,算法,量化投资,智能投顾",机器学习工程师,,7196742,2,77,10k-20k,0,数据开发,景田,2号线/蛇口线,不限
"白石洲,大冲,科技园",深圳,中腾信金融信息服务（上海）有限公司,35112,"节日礼物,年底多薪,绩效奖金,岗位晋升",image1/M00/00/53/Cgo8PFTUXRaAJMASAAA4tgqd6o4861.png,中腾信,2000人以上,2018-06-13 16:05:19,0,南山区,本科,,不需要融资,开发/测试/运维类,2018-06-13,,"免费休闲游,免费体检,地铁周边,6险1金,前景无限好",today,金融,,0,全职,1529659480000,22.540772,1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.953243,0,,活力,4645497,"大数据,数据挖掘,算法",机器学习工程师,,10927885,0,0,10k-16k,0,数据开发,深大,1号线/罗宝线,1-3年
"科技园,深圳湾,南山医院",深圳,深圳和而泰智能控制股份有限公司,10941,"绩效奖金,年终分红,股票期权,专项奖金",image1/M00/12/60/Cgo8PFUCuqaAX5E3AACKbxAiWcg642.jpg,和而泰,2000人以上,2018-06-22 14:56:23,0,南山区,本科,,上市公司,开发/测试/运维类,1天前发布,,"免费下午茶,免费体检,地铁周边",today,移动互联网,,0,全职,1529654235000,22.537693,2号线/蛇口线_科苑;1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.954321,0,,"智能家居,氛围轻松,下午茶",4758956,"Java,大数据,算法,python",和而泰 419 Lab 机器学习平台开发工程师,,4016560,0,0,15k-30k,0,后端开发,深大,2号线/蛇口线,3-5年
科技园,深圳,深圳智易科技有限公司,249367,"人工智能,云计算,股票期权,技能培训",i/image2/M00/09/DA/CgoB5lnbTn6ARFwYAAAt_WfA7yI455.png,智易科技,15-50人,2018-06-11 14:35:40,0,南山区,硕士,,天使轮,开发/测试/运维类,2018-06-11,,"试用期上社保,试用期上公积金,领导nice,带薪病假,谷歌背景,弹性工作,BAT背景,地铁周边,超长年假,定期团建,前景无限好",today,"数据服务,企业服务",,0,全职,1529657045000,22.522995,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,113.93723899999999,0,,"股票期权,云计算,人工智能,弹性工作制",4577477,"资深,算法,人工智能",机器学习架构师,,7155761,1,37,25K-40K,0,数据开发,南山,2号线/蛇口线,3-5年
,深圳,深圳追一科技有限公司,117189,"期权激励,年底双薪,带薪年假,节日礼物",i/image3/M00/21/56/CgpOIFqTvTaAHDX8AAPQG9kRoQk550.jpg,追一科技,150-500人,2018-06-22 17:04:51,0,南山区,本科,,B轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,企业服务",,1,实习,1529666894000,22.546157,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.946882,0,,可转正,4434710,深度学习,机器学习算法工程实习生 (MJ000033),,4276394,1,100,4k-6k,0,数据开发,深大,1号线/罗宝线,不限
