businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
"四川北路,海宁路,东宝兴路",上海,上海宏路数据技术股份有限公司,24102,"绩效奖金,五险一金,带薪年假,年度旅游",i/image2/M00/1F/84/CgotOVoNNsWAKAojAAANvLLP6BY862.png,Hypers,50-150人,2018-06-22 10:21:19,0,虹口区,本科,,上市公司,技术,1天前发布,,,today,移动互联网,,0,全职,1529663267000,31.25525987,3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;4号线_临平路;10号线(航中路)_海伦路;10号线(航中路)_四川北路;10号线(航中路)_天潼路;10号线(虹桥火车站)_海伦路;10号线(虹桥火车站)_四川北路;10号线(虹桥火车站)_天潼路;12号线_天潼路;12号线_国际客运中心,121.48940001,0,,良好的技术氛围，循循善导的导师,2544528,.NET,机器学习,,284302,1,28,15k-30k,0,后端开发,海伦路,10号线(航中路),1-3年
"外滩,七浦路,海宁路",上海,中腾信金融信息服务（上海）有限公司,35112,"节日礼物,年底多薪,绩效奖金,岗位晋升",image1/M00/00/53/Cgo8PFTUXRaAJMASAAA4tgqd6o4861.png,中腾信,2000人以上,2018-06-13 10:49:12,0,虹口区,本科,,不需要融资,开发/测试/运维类,2018-06-13,,"免费休闲游,免费体检,地铁周边,6险1金,前景无限好",disabled,金融,,0,全职,1529575187000,31.24432800000001,2号线_陆家嘴;2号线_南京东路;10号线(航中路)_四川北路;10号线(航中路)_天潼路;10号线(航中路)_南京东路;10号线(虹桥火车站)_四川北路;10号线(虹桥火车站)_天潼路;10号线(虹桥火车站)_南京东路;12号线_天潼路;12号线_国际客运中心,121.48995,0,,"丰厚奖金,高温补贴,福利年休假,六险一金",4608237,"高级,算法,数据挖掘,深度学习,大数据",机器学习工程师,,6500949,2,5,18k-28k,0,数据开发,四川北路,10号线(航中路),3-5年
"田林,漕河泾,漕宝路",上海,星环信息科技（上海）有限公司,27962,"五险一金,年底双薪,带薪年假,弹性工作",image1/M00/3F/78/CgYXBlXAhlaAe9VkAAALyeCGxAU857.jpg,星环科技,150-500人,2018-06-15 10:55:34,0,徐汇区,本科,,C轮,开发/测试/运维类,2018-06-15,,,today,数据服务,,0,全职,1529650734000,31.17032939,9号线_桂林路;9号线_漕河泾开发区;12号线_虹漕路;12号线_桂林公园,121.41044957,0,,技术氛围好，扁平化管理,4083694,"搜索,数据挖掘,深度学习,NLP",机器学习工程师（偏算法）,,363516,2,53,15k-30k,0,数据开发,漕河泾开发区,9号线,不限
"虹桥,新华路,虹桥,新华路,古北,古北",上海,上海氪信信息技术有限公司,110641,,i/image/M00/01/C6/CgqKkVZ3fV2AeL2tAACxmcYyqpI239.png,CreditX,50-150人,2018-06-21 18:14:17,0,长宁区,硕士,,B轮,开发/测试/运维类,2天前发布,,,disabled,"金融,数据服务","金融,深度学习,建模",0,全职,1529666723000,31.19757700000001,3号线_延安西路;3号线_虹桥路;4号线_虹桥路;4号线_延安西路;10号线(航中路)_虹桥路;10号线(航中路)_宋园路;10号线(航中路)_伊犁路;10号线(虹桥火车站)_虹桥路;10号线(虹桥火车站)_宋园路;10号线(虹桥火车站)_伊犁路,121.416106,0,,"AI技术,精英团队,扁平管理,弹性工作制",2791138,"金融,深度学习,建模",机器学习算法工程师,,6793647,2,55,15k-30k,0,数据开发,虹桥路,10号线(航中路),3-5年
,上海,上海好居信息科技有限公司,30533,"股票期权,岗位晋升,扁平管理,补充商业保险",i/image/M00/02/71/CgqKkVaPbV2AMOYoAABES1oLpZo428.png,悟空找房,500-2000人,2018-06-22 14:57:48,0,浦东新区,本科,,C轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,O2O",,0,全职,1529658273000,0.0,,0.0,0,,"五险一金,带薪年假,节日福利,技术大牛",4250363,,机器学习算法工程师（16号线滴水湖）,,1844573,1,63,20k-30k,0,数据开发,,,1-3年
张江,上海,百度在线网络技术（北京）有限公司,1575,"股票期权,弹性工作,五险一金,免费班车",i/image/M00/21/3E/CgpFT1kVdzeAJNbUAABJB7x9sm8374.png,百度,2000人以上,2018-06-22 14:02:35,0,浦东新区,本科,,不需要融资,开发/测试/运维类,1天前发布,,"一年调薪4次,5险1金,6险1金",today,"移动互联网,数据服务",,0,全职,1529647348000,31.179853,,121.605878,0,,薪酬福利好,4571761,算法,深度学习/机器学习工程师-上海,,8016982,0,0,15k-30k,0,数据开发,,,3-5年
,上海,同盾科技有限公司,6502,"技能培训,股票期权,绩效奖金,岗位晋升",i/image/M00/15/04/Cgp3O1bqjJSAL_ILAAGd2i3E4lo109.jpg,同盾科技,500-2000人,2018-06-21 11:34:31,0,徐汇区,本科,,C轮,开发/测试/运维类,2天前发布,,"试用期上社保,年底双薪,免费下午茶,学习机会,BAT背景,免费体检,Mac办公,定期团建,加班补贴,试用期上公积金,免费健身房,一年调薪2次,打车报销,弹性工作",today,"信息安全,数据服务",,0,全职,1529673883000,31.183823999999998,4号线_大木桥路;4号线_东安路;4号线_上海体育场;7号线_龙华中路;7号线_东安路;11号线(嘉定北)_龙华;11号线(花桥)_龙华;12号线_龙华;12号线_龙华中路;12号线_大木桥路,121.457355,0,,"15薪,大牛指导,机器学习,弹性工作",4431989,"web前端,js,JavaScript",前端开发工程师-机器学习团队-上海徐汇-00669,,81793,1,10,10k-20k,0,前端开发/移动开发,上海体育场,11号线(花桥),3-5年
外高桥,上海,杭州云脑科技有限公司,190413,"年底双薪,股票期权,扁平管理,人工智能",i/image/M00/14/75/CgpEMljxqPeATVzMAABTwE-3uJc836.png,云脑科技,15-50人,2018-06-22 13:19:55,0,浦东新区,本科,,A轮,开发/测试/运维类,1天前发布,,,today,"企业服务,数据服务",,0,全职,1529651590000,31.319638,6号线_外高桥保税区南,121.60719499999999,0,,"硅谷团队,人工智能,福利多多,晋升空间",4729810,"搜索,推荐,数据挖掘",机器学习算法实习生,,8540637,1,86,3k-6k,0,数据开发,外高桥保税区南,6号线,不限
,上海,支付宝(杭州)信息技术有限公司,153849,"年底双薪,带薪年假,股票期权,绩效奖金",i/image/M00/1F/54/CgpFT1kRuMmASL74AAAg3WZnNI005.jpeg,蚂蚁金服集团,2000人以上,2018-06-12 13:18:46,0,浦东新区,本科,,B轮,开发/测试/运维类,2018-06-12,,"年底双薪,17薪,股票期权,免费体检,5险1金,人体工学椅,晋升机制",disabled,"金融,移动互联网","金融,大数据,数据挖掘",0,全职,1529505211000,0.0,,0.0,0,,"互联网金融,机器学习",4115873,"金融,大数据,数据挖掘",蚂蚁金服-高级算法工程师/算法专家（机器学习方向）,,6948283,0,0,30K-50K,0,数据开发,,,不限
"新天地,淮海路,老西门",上海,普华永道中天会计师事务所（特殊普通合伙）北京分所,44032,"带薪年假,定期体检,管理规范",i/image/M00/00/63/Cgp3O1ZGrqCAFZ1WAAAJFMjCGic827.gif,PWC,2000人以上,2018-06-14 10:18:46,0,黄浦区,本科,,不需要融资,开发/测试/运维类,2018-06-14,,,threeDays,金融,,0,全职,1529462195000,31.220734999999998,1号线_黄陂南路;1号线_人民广场;2号线_人民广场;8号线_陆家浜路;8号线_老西门;8号线_大世界;8号线_人民广场;9号线_陆家浜路;9号线_马当路;10号线(航中路)_豫园;10号线(航中路)_老西门;10号线(航中路)_新天地;10号线(虹桥火车站)_豫园;10号线(虹桥火车站)_老西门;10号线(虹桥火车站)_新天地;13号线_淮海中路;13号线_新天地;13号线_马当路,121.477425,0,,"外企,好福利",4712559,"人工智能,算法",高级软件工程师-机器学习,,5490756,0,0,13k-25k,0,数据开发,马当路,10号线(航中路),3-5年
