company,education,experience,location,position,salary
去哪儿,本科,3-5年,北京,数据挖掘,20k-40k
今日头条,本科,1-3年,北京,图像识别研发工程师,25k-50k
堆氧,本科,5-10年,北京,财务邮件系统信息技术部/技术总监,70k-100k
视感科技,硕士,3-5年,北京,音频算法工程师（音乐方向）,20k-35k
水滴成海,本科,不限,北京,算法推荐工程师,20k-35k
知乎,本科,5-10年,北京,资深数据仓库开发,38k-48k
今日头条,本科,不限,北京,推荐算法实习生,8k-10k
滴滴出行,硕士,5-10年,北京,视频识别算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,安全算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,资深算法专家,40k-41k
汉能控股集团,硕士,1-3年,北京,算法工程师,20k-40k
京东集团,本科,5-10年,北京,Java,20k-40k
滴滴出行,硕士,10年以上,北京,首席算法工程师,60k-70k
汉能控股集团,博士,5-10年,北京,数据科学家,30k-60k
汉能控股集团,本科,5-10年,北京,人工智能专家,25k-50k
百度,本科,1年以内,北京,自然语言处理/机器学习算法工程师,15k-30k
思源互联科技,本科,3-5年,北京,大数据开发工程师,20k-40k
阿里巴巴集团,硕士,1-3年,北京,安全部-高级策略/模型专家,20k-40k
北京京东科技,本科,不限,北京,算法工程师,20k-40k
金睛云华,本科,3-5年,北京,高级Java工程师(安全方向),15k-30k
悉见,硕士,3-5年,北京,资深算法工程师（机器学习）,30k-50k
品友互动,本科,1-3年,北京,机器学习,10k-20k
创新工场,硕士,1-3年,北京,售前顾问/经理/总监,20k-40k
爱奇艺,本科,1-3年,北京,高级工程师,20k-35k
天机数据,硕士,不限,北京,算法工程师,15k-30k
北京冠鼎科技有限公司,本科,5-10年,北京,技术总监,25k-50k
小米,本科,1-3年,北京,大数据研发工程师,10k-20k
文思海辉集团,本科,3-5年,北京,中级Java开发工程师,10k-12k
一亩田,本科,不限,北京,Python实习生,3k-6k
一亩田,本科,不限,北京,python开发工程师,18k-25k
麦达数字(北京),本科,3-5年,北京,大数据机器学习工程师,20k-40k
健康界,本科,3-5年,北京,推荐算法工程师,20k-30k
京东集团,本科,3-5年,北京,数据产品经理 - 仓配算法应用,20k-35k
Yi+,本科,5-10年,北京,深度学习专家,40k-80k
凡普金科,本科,5-10年,北京,模型分析师,30k-60k
荣之联科技,本科,5-10年,北京,资深NLP算法工程师,30k-45k
新浪微博,硕士,1-3年,北京,推荐算法工程师,30k-45k
赞同科技,本科,1-3年,北京,机器学习 ai,15k-30k
京东金融,本科,3-5年,北京,高级java开发工程师/架构师,20k-40k
今日头条,本科,3-5年,北京,数据挖掘算法工程师 - 反作弊方向,25k-50k
Geek+,本科,应届生,北京,系统研发部-数据算法实习生,5k-7k
阿里云,本科,5-10年,北京,SA解决方案架构师,25k-35k
360金融,本科,3-5年,北京,算法工程师-NPL,30k-50k
浩然五洲软件,本科,1-3年,北京,数据分析,9k-15k
京东集团,博士,5-10年,北京,预测算法科学家,60k-120k
小狗机器人,本科,5-10年,北京,测试总监,30k-55k
中科众智,硕士,3-5年,广州,算法团队负责人,15k-16k
高朋,硕士,3-5年,广州,数据挖掘工程师,20k-30k
朗安信息科技,本科,1-3年,深圳,go开发工程师,10k-20k
云之讯,硕士,3-5年,深圳,高级数据分析师,25k-40k
百度,本科,不限,深圳,知识图谱资深工程师／架构师,90k-140k
华运通,硕士,1-3年,深圳,算法工程师,20k-30k
自兴信息,本科,5-10年,广州,ai人工智能（兼职讲师）,30k-60k
华为,本科,3-5年,深圳,AI数据框架高级工程师,20k-40k
SenseTime,硕士,1-3年,深圳,自然语言处理研究员,20k-40k
欢雀科技,本科,3-5年,深圳,C++工程师,20k-30k
科天智慧云,本科,3-5年,深圳,数据分析师,15k-30k
科天智慧云,本科,3-5年,深圳,算法工程师,15k-30k
宜通世纪,本科,应届生,广州,数据库开发工程师,4k-8k
小鹅通,本科,3-5年,深圳,数据平台开发工程师,10k-20k
新致方舟科技,大专,5-10年,深圳,高级java开发工程师,16k-20k
广州经传,硕士,1-3年,广州,量化分析工程师,15k-30k
广州经传,本科,3-5年,广州,量化平台研发工程师-python,12k-24k
 Fordeal,本科,1-3年,广州,搜索算法工程师,25k-40k
Epoque,本科,3-5年,深圳,BI工程师,10k-20k
Epoque,本科,3-5年,深圳,大数据工程师（数据挖掘方向）,10k-20k
至尊量化,本科,1-3年,深圳,量化研究员,8k-15k
腾讯,硕士,5-10年,广州,微信用户与商业数据科学家,1k-2k
科天智慧云,本科,3-5年,深圳,数据分析师,15k-25k
科天智慧云,本科,3-5年,深圳,算法工程师,15k-30k
华为,本科,5-10年,深圳,通信研发工程师,20k-40k
华为,本科,5-10年,深圳,C,20k-40k
太平洋未来科技,硕士,5-10年,深圳,高级算法工程师,20k-30k
Epoque,本科,1-3年,深圳,大数据---数据挖掘工程师,10k-20k
软通动力,本科,不限,深圳,数据挖掘,10k-20k
Epoque,本科,1-3年,深圳,大数据---数据仓库工程师,10k-20k
小牛普惠投资,大专,5-10年,深圳,大数据架构师,25k-50k
中软国际,本科,1年以内,深圳,C++开发,10k-19k
傲基电子商务,大专,1-3年,深圳,Python开发工程师,6k-12k
盈华讯方,本科,不限,深圳,人工智能算法工程师,15k-20k
腾讯,本科,3-5年,深圳,高级爬虫工程师,20k-40k
和而泰,硕士,1-3年,深圳,和而泰 419 Lab 计算机视觉工程师,20k-40k
和而泰,硕士,1-3年,深圳,和而泰 419 Lab 自然语言处理工程师,20k-40k
和而泰,硕士,1-3年,深圳,和而泰 419 Lab 机器学习工程师,20k-40k
和而泰,本科,1-3年,深圳,和而泰 419 Lab 人工智能产品经理,15k-30k
和而泰,本科,3-5年,深圳,和而泰 419 Lab 机器学习平台开发工程师,15k-30k
碳云智能科技有限公司,本科,5-10年,深圳,机器学习算法工程师,20k-40k
锦峰集团,本科,1-3年,广州,人工智能（AI）开发工程师,15k-25k
新研科技,大专,不限,深圳,Python讲师,18k-30k
华为技术有限公司,硕士,3-5年,深圳,数据科学家,30k-60k
冰湖投资,硕士,不限,广州,行业研究实习生,1k-2k
江融信,本科,5-10年,深圳,需求分析工程师,20k-30k
随手科技,本科,1-3年,深圳,推荐算法工程师,10k-20k
峰鸣广告,本科,1-3年,广州,图像识别,10k-20k
腾讯,硕士,5-10年,深圳,算法专家,50k-90k
米多科技,大专,3-5年,广州,JAVA数据开发,15k-30k
思迈特软件,硕士,3-5年,广州,数据挖掘工程师,15k-20k
九康科技,本科,不限,深圳,算法工程师,9k-18k
九康科技,本科,不限,深圳,后台开发（C++及python）,9k-18k
竹信科技,硕士,1-3年,深圳,机器学习工程师,15k-20k
京东集团,本科,1-3年,深圳,数据挖掘,20k-40k
华为,本科,5-10年,深圳,图像算法评估专家,50k-80k
平安科技,硕士,不限,深圳,AI算法（机器学习/推荐算法/深度学习/NLP等）,20k-40k
酷狗音乐,本科,5-10年,广州,数据挖掘经理,30k-60k
精点数据,本科,1-3年,广州,数据挖掘分析工程师,5k-10k
腾讯,本科,3-5年,深圳,高级图像算法研发工程师（北/上/深）,20k-40k
腾视科技,本科,3-5年,深圳,人脸识别（深度学习）,20k-40k
Epoque,本科,不限,深圳,机器学习算法工程师（全职/实习）,8k-15k
腾讯,本科,3-5年,广州,数据挖掘工程师,20k-40k
腾讯,硕士,3-5年,深圳,25923-机器学习平台研发工程师（深圳）,28k-56k
合众投资,本科,3-5年,广州,数据开发,10k-20k
新致方舟科技,本科,5-10年,深圳,高级Java开发工程师,16k-17k
JIGUANG极光,本科,1-3年,深圳,数据分析师,12k-24k
合众投资,本科,3-5年,广州,数据挖掘,10k-20k
太平洋网络,本科,不限,广州,图像识别工程师,10k-15k
广州智数,本科,1-3年,广州,Hadoop,10k-15k
精点数据,本科,1-3年,广州,大数据研发工程师,8k-12k
凌晨网络科技,硕士,3-5年,广州,高级机器学习工程师,12k-24k
腾讯,硕士,3-5年,深圳,广告排序算法工程师,40k-80k
华为技术有限公司,本科,3-5年,深圳,人工智能，算法，NLP，知识图谱等,20k-40k
Webot,硕士,5-10年,深圳,高级python开发工程师/专家,20k-30k
香江云科技,本科,1年以内,广州,实施工程师,8k-10k
环球易购,大专,3-5年,深圳,大数据开发工程师 ,20k-40k
华为,本科,3-5年,深圳,机器学习,15k-30k
Entrobus,本科,1-3年,广州,数据产品经理（人工智能方向）,15k-25k
广州智品网络科技公司,硕士,3-5年,广州,机器学习研究,25k-35k
广州多益网络,硕士,1-3年,广州,深度学习研发工程师,15k-25k
货拉拉科技,本科,3-5年,深圳,大数据工程师J10887,18k-30k
鱼数科技,本科,1-3年,广州,爬虫工程师,10k-20k
深圳国开创新科技,不限,不限,深圳,hadoop大数据,34k-35k
深圳市数位传媒科技,本科,3-5年,深圳,大数据开发工程师,15k-30k
Locals路客,大专,3-5年,广州,高级产品经理,15k-30k
天琴医疗,博士,不限,深圳,图像处理,26k-52k
好刀同盟,硕士,3-5年,深圳,算法工程师,30k-50k
腾讯,硕士,不限,深圳,数据挖掘工程师（深圳）,30k-60k
腾讯,硕士,不限,深圳,高级图像算法研发工程师（深圳）,30k-60k
腾讯,不限,5-10年,深圳,海量计算组组长（深圳）,50k-90k
